10,M,0
0,M,0
0,M,0
0,M,0
0,M,0
1,S,5
1,S,6
1,S,7
1,S,8
2,S,0
0,S,1
0,S,3
0,S,4
3,L,5
0,L,7
0,L,1
0,L,3
2,L,1
0,L,3
2,L,1
0,L,3
5,M,5
0,M,6
0,M,7
0,M,8
5,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
0.2,M,0
0,M,2
0,M,3
0,M,4
5,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
0.2,M,0
0,M,1
0,M,2
0,M,4
8,B,2
